,otto-epochs,otto-tpe,churn-epochs,churn-tpe,fb-comments-epochs,fb-comments-tpe,california-epochs,california-tpe,adult-epochs,adult-tpe,house-epochs,house-tpe,higgs-small-epochs,higgs-small-tpe,santander-epochs,santander-tpe,covtype-epochs,covtype-tpe,gesture-epochs,gesture-tpe
p-LTLR-a,24.0000,1.4458,25.0000,0.3195,62.0000,3.7691,70.0000,0.8719,50.0000,1.8589,51.0000,0.5603,58.0000,3.6496,19.0000,5.4068,106.0000,29.2290,20.0000,0.3204
p-LTLR-s,39.0000,1.5547,41.0000,0.3365,77.0000,4.4576,114.0000,1.1969,59.0000,2.5796,78.0000,0.6537,63.0000,4.2823,19.0000,6.5888,201.0000,33.9920,25.0000,0.3665
p-LT-a,25.0000,1.2395,22.0000,0.2844,66.0000,2.9984,83.0000,0.7859,34.0000,1.6920,50.0000,0.4919,34.0000,3.3407,18.0000,4.7537,103.0000,26.7731,20.0000,0.2909
p-LT-s,47.0000,1.2624,35.0000,0.2872,73.0000,3.0119,114.0000,0.7913,67.0000,1.7183,74.0000,0.5015,59.0000,3.3668,19.0000,4.8749,240.0000,27.8898,25.0000,0.2920
l-LRLR-a,26.0000,1.7961,26.0000,0.3146,63.0000,4.3987,68.0000,0.9397,36.0000,2.1085,65.0000,0.6206,31.0000,4.0755,19.0000,6.4630,72.0000,34.4921,23.0000,0.3319
l-LRLR-s,34.0000,2.0250,48.0000,0.4018,72.0000,4.9041,84.0000,1.2605,69.0000,2.7120,61.0000,0.8455,63.0000,4.8939,20.0000,6.9772,188.0000,34.4681,24.0000,0.4329
l-LR-a,41.0000,1.3651,26.0000,0.2861,80.0000,3.1610,126.0000,0.7702,85.0000,1.7101,71.0000,0.4842,33.0000,3.3098,20.0000,5.0469,235.0000,27.4137,23.0000,0.2869
l-LR-s,40.0000,1.3744,38.0000,0.2864,82.0000,3.1892,102.0000,0.7885,69.0000,1.7360,79.0000,0.4871,57.0000,3.3012,19.0000,5.0333,217.0000,27.6704,24.0000,0.2853
l-LTLR-a,23.0000,2.0141,25.0000,0.3301,60.0000,4.6550,65.0000,1.1345,37.0000,2.3046,44.0000,0.6731,43.0000,4.5384,18.0000,7.6526,89.0000,35.4210,21.0000,0.3826
l-LTLR-s,45.0000,1.6202,36.0000,0.3269,77.0000,3.8232,102.0000,0.8693,55.0000,1.9219,72.0000,0.5545,55.0000,3.6666,19.0000,5.8387,203.0000,34.0367,24.0000,0.3186
l-LT-a,22.0000,1.3416,22.0000,0.2831,65.0000,3.1034,70.0000,0.7667,27.0000,1.6946,52.0000,0.4822,34.0000,3.2590,18.0000,4.9932,78.0000,27.1585,21.0000,0.2805
l-LT-s,52.0000,1.3477,34.0000,0.2820,70.0000,3.1660,107.0000,0.7785,48.0000,1.7284,83.0000,0.4821,65.0000,3.2749,18.0000,5.0565,224.0000,27.6951,24.0000,0.2870
t-LRLR-a,26.0000,1.7746,24.0000,0.3590,66.0000,3.8954,83.0000,1.0008,50.0000,2.0874,54.0000,0.6816,28.0000,4.4061,19.0000,8.2182,121.0000,33.0313,25.0000,0.3686
t-LRLR-s,35.0000,2.0152,45.0000,0.4358,81.0000,3.5953,80.0000,0.8485,60.0000,2.4438,76.0000,0.8254,58.0000,4.7814,20.0000,9.8904,158.0000,30.4369,26.0000,0.3535
t-LR-a,42.0000,1.3842,28.0000,0.2891,79.0000,3.0116,120.0000,0.7751,96.0000,1.7138,74.0000,0.4887,32.0000,3.2901,20.0000,5.9715,169.0000,26.2802,30.0000,0.2907
t-LR-s,40.0000,1.3703,31.0000,0.2917,80.0000,3.0282,105.0000,0.7782,45.0000,1.7236,72.0000,0.4944,59.0000,3.3534,19.0000,5.9715,214.0000,26.3458,25.0000,0.2892
t-LTLR-a,23.0000,1.5980,28.0000,0.4392,76.0000,4.4925,70.0000,1.0916,39.0000,1.8785,37.0000,0.5648,47.0000,3.5937,18.0000,7.9212,111.0000,33.3078,19.0000,0.3196
t-LTLR-s,46.0000,2.2946,41.0000,0.5402,67.0000,5.3711,101.0000,1.4982,60.0000,2.5915,77.0000,1.0037,59.0000,5.5704,19.0000,10.0472,195.0000,31.9593,24.0000,0.5152
t-LT-a,24.0000,1.3618,21.0000,0.2841,54.0000,2.9332,64.0000,0.7576,27.0000,1.7141,39.0000,0.4825,33.0000,3.2565,18.0000,5.8390,105.0000,25.6854,19.0000,0.2859
t-LT-s,45.0000,1.3793,30.0000,0.2882,66.0000,3.0005,99.0000,0.7705,49.0000,1.7183,83.0000,0.4915,62.0000,3.3130,19.0000,5.9765,227.0000,26.1579,26.0000,0.2891
