embedding-model,CA-dim,CA-MSE-mean,CA-MSE-std,OT-dim,OT-AUC-mean,OT-AUC-std,HI-dim,HI-AUC-mean,HI-AUC-std,AD-dim,AD-AUC-mean,AD-AUC-std,CH-dim,CH-AUC-mean,CH-AUC-std,FB-dim,FB-MSE-mean,FB-MSE-std,HO-dim,HO-MSE-mean,HO-MSE-std,CO-dim,CO-AUC-mean,CO-AUC-std,GE-dim,GE-AUC-mean,GE-AUC-std,SA-dim,SA-AUC-mean,SA-AUC-std
emb_lr_tanh_alpha,78,0.0478,0.0021,74,0.9589,0.0018,77,0.7512,0.0142,70,0.9118,0.0031,91,0.8487,0.0075,77,0.0098,0.0002,77,0.0457,0.0018,100,0.9719,0.0019,114,0.8055,0.0086,95,0.8944,0.0034
emb_tlr_relu_alpha,69,0.0667,0.0067,15,0.9595,0.0021,55,0.4999,0.0001,114,0.8944,0.0071,82,0.8505,0.0064,57,0.0108,0.0002,41,0.0509,0.0019,11,0.9966,0.0006,76,0.7712,0.0082,59,0.8847,0.0033
emb_tlr_tanh_alpha,69,0.0512,0.0039,15,0.9576,0.0041,55,0.7718,0.0077,114,0.9124,0.0035,82,0.8484,0.0068,57,0.0094,0.0003,41,0.05,0.0025,11,0.9958,0.0006,76,0.8052,0.008,59,0.8933,0.0038
emb_p_relu_standard,30,0.0577,0.0041,30,0.9663,0.0018,30,0.5554,0.1107,30,0.9101,0.0022,30,0.864,0.006,30,0.0108,0.0006,30,0.0495,0.0017,30,0.9925,0.0013,30,0.7746,0.0151,30,0.8927,0.0039
emb_p_tanh_standard,30,0.0591,0.0023,30,0.9686,0.0012,30,0.5,0.0,30,0.9085,0.0023,30,0.8615,0.0103,30,0.0108,0.0001,30,0.0508,0.002,30,0.9956,0.0003,30,0.7827,0.0077,30,0.8601,0.0035
emb_lr_relu_standard,78,0.0596,0.0043,74,0.969,0.0011,77,0.5,0.0,70,0.91,0.002,91,0.8577,0.0113,77,0.0104,0.0004,77,0.0527,0.0028,100,0.9918,0.0023,114,0.6905,0.1095,95,0.8737,0.0096
emb_lr_tanh_standard,78,0.0607,0.0009,74,0.9695,0.002,77,0.5579,0.1158,70,0.9083,0.0024,91,0.8529,0.0078,77,0.011,0.0003,77,0.0535,0.0023,100,0.9957,0.0004,114,0.6255,0.09,95,0.8556,0.0041
emb_tlr_relu_standard,69,0.0586,0.0018,15,0.9646,0.001,55,0.5,0.0,114,0.9086,0.003,82,0.8562,0.0087,57,0.0104,0.0002,41,0.0499,0.0024,11,0.9964,0.0004,76,0.7147,0.1002,59,0.8936,0.0043
emb_tlr_tanh_standard,69,0.0614,0.0029,15,0.9669,0.0017,55,0.5,0.0,114,0.9082,0.0026,82,0.853,0.0084,57,0.0106,0.0003,41,0.051,0.0026,11,0.9964,0.0004,76,0.7582,0.0279,59,0.8534,0.0047
emb_p_relu_M_relu_alpha,30,0.0521,0.0051,30,0.9635,0.0027,30,0.799,0.003,30,0.9117,0.003,30,0.8562,0.0092,30,0.0101,0.0006,30,0.0481,0.0019,30,0.997,0.0004,30,0.8013,0.0066,30,0.8957,0.0033
emb_p_tanh_M_relu_alpha,30,0.0525,0.0021,30,0.9664,0.0019,30,0.7987,0.0032,30,0.9125,0.0029,30,0.8538,0.0084,30,0.0096,0.0004,30,0.0492,0.0042,30,0.9969,0.0004,30,0.8099,0.0075,30,0.8948,0.0042
emb_lrlr_relu_M_relu_alpha,93,0.0525,0.0057,13,0.9634,0.0014,124,0.6766,0.1442,111,0.9129,0.002,88,0.8555,0.0069,89,0.0095,0.0004,95,0.0448,0.001,96,0.9975,0.0003,114,0.7891,0.0108,111,0.8956,0.004
emb_lrlr_tanh_M_relu_alpha,93,0.0501,0.0038,13,0.9644,0.0014,124,0.7944,0.0036,111,0.914,0.0028,88,0.854,0.0084,89,0.0091,0.0004,95,0.0442,0.0015,96,0.9969,0.0004,114,0.8102,0.0088,111,0.8978,0.0039
emb_p_relu_M_relu_standard,30,0.0584,0.0023,30,0.9678,0.0013,30,0.5,0.0,30,0.9096,0.0022,30,0.8611,0.0073,30,0.0099,0.0005,30,0.05,0.0015,30,0.9962,0.0001,30,0.6181,0.1459,30,0.8932,0.0032
emb_p_tanh_M_relu_standard,30,0.0566,0.0028,30,0.9658,0.0013,30,0.6681,0.1374,30,0.9097,0.0028,30,0.8574,0.0084,30,0.01,0.0003,30,0.0493,0.0019,30,0.996,0.0005,30,0.7955,0.011,30,0.8958,0.0038
emb_tlrlr_relu_M_relu_alpha,71,0.0535,0.0063,111,0.9677,0.0019,70,0.7966,0.0025,128,0.9141,0.0025,46,0.8528,0.0078,117,0.0088,0.0003,101,0.0454,0.0011,107,0.9971,0.0004,121,0.79,0.0061,91,0.8956,0.003
emb_tlrlr_tanh_M_relu_alpha,71,0.0502,0.0034,111,0.9691,0.0013,70,0.7966,0.0044,128,0.9139,0.0026,46,0.8533,0.0081,117,0.0088,0.0003,101,0.0448,0.0013,107,0.9974,0.0002,121,0.8103,0.0154,91,0.8976,0.0034
emb_lrlr_relu_M_relu_standard,93,0.0567,0.0037,13,0.9673,0.0009,124,0.6845,0.0945,111,0.9103,0.003,88,0.8604,0.0062,89,0.0103,0.0003,95,0.047,0.0018,96,0.9964,0.0006,114,0.7955,0.0085,111,0.8963,0.0039
emb_lrlr_tanh_M_relu_standard,93,0.0584,0.0039,13,0.9671,0.0014,124,0.7416,0.0306,111,0.9115,0.0034,88,0.8548,0.0079,89,0.0103,0.0003,95,0.0469,0.0016,96,0.9966,0.0003,114,0.7817,0.0151,111,0.8911,0.0042
emb_tlrlr_relu_M_relu_standard,71,0.0577,0.004,111,0.9667,0.0025,70,0.579,0.0967,128,0.911,0.0033,46,0.859,0.0078,117,0.0103,0.0002,101,0.0472,0.0009,107,0.9965,0.0004,121,0.7792,0.0081,91,0.8963,0.0037
emb_tlrlr_tanh_M_relu_standard,71,0.0582,0.0036,111,0.9667,0.0023,70,0.6354,0.1117,128,0.9113,0.0026,46,0.8563,0.0079,117,0.0103,0.0002,101,0.0473,0.0018,107,0.9965,0.0007,121,0.7821,0.0091,91,0.8909,0.0037
